"Product Name",Completed,Brand,Stage,"Next Action",Type,Sampling,"Stage Entered Date","Packaging Status","AMZ Listing","Listing Notes",Assignee,"Due Date","MISC Documents",SPEC,Proposal,PWF,"Print Files","Packaging Mockups","PDP Link","GV Label Link","GV Box Link","Uploaded to GV","Spec Status","R&D Recommendation","Parked Code","Parked Reason","Hold Reason","Sampling Quotes Status","Purchasing Status"
"HL112 -  Methylene Blue Drops",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Requested,,"In Progress",Approved,":white_check_mark: ASIN B0GHSBVBQF
:white_check_mark: UPC 850076186661

• Product Name: Methylene Blue Drops (Spec Sheet)
• Amazon Market Validation: Here
• Supp Facts Panel: Here
• Ingredients to Order: Effepharm, JiaHerb
• Packaging Copy: Here
• Amazon Compliance Response: Cleared inactive/blocked/processing phase; new listing reactivated – PDP
• Listing Content: link",,,"F0AJ317BP6W,F0AHWK28RR9,F0AJ319B03U,F0AJ6JZQUP6,F0AJ6K0R9RS,F0AJX9C3LGG,F0AHMHF9X55,F0AJ0UXFAJ2,F0AJ6K2FRNY,F0AHZJF3HM3",F0AN0B4FKD2,F0AJXADV6BC,F0B162CG5DY,"F0AL0CYGASW,F0AKK1A6ZT9,F0ALUNLA0D6",,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GHSBVBQF"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444a19cafb30015c07bc3"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444b2c173270015872cd8"",""attachment"":{},""displayAsUrl"":false}",true,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP205 - Mushroom Slim Coffee",false,PN,":gear: In Production",,":green_salad: Food",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GFY5VMBC
:white_check_mark: UPC 850076186654",,,"F0AJ6GVTU3W,F0AHMFF2LK1,F0AJ0SVMPRU,F0AJ6H0HNR2",F0AMTPZH7GE,,,F0AMZFEQME0,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GFY5VMBC"",""attachment"":{},""displayAsUrl"":false}",,,true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HL111 - Mullein Drops w/ Soursop & Moringa",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Approved,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GTS17PKB - Inactive/Blocked/Processing (waiting for Amazon to clear)
:white_check_mark: UPC 850076186760
:white_check_mark: KW list + draft copies",,,F0AHK6K70UC,F0ANR1UUZAL,F0AJFTEU39D,"F0ALV6678BG,F0AM0R6C11S","F0ALUMLK3H6,F0AKYCVP1KQ,F0AKX1ZHTSR",,,"{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b442dc3979dd00153706a7"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b4432c9cafb30015c065c6"",""attachment"":{},""displayAsUrl"":false}",true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Kids Elderberry Gummy w/ Multivitmains",false,DON,":no_entry_sign: Parked",,":green_salad: Food",,,"Not Started","Not Started",,,,F0AJET3LE0G,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H125 - Mushroom Powder w/ Supergreens + Matcha",false,DON,":no_entry_sign: Parked",,":rice: Supplement / Powder",,,"Not Started","Not Started",":hourglass_flowing_sand: Currently waiting on JiaHerb R&D to confirm the appropriate filler percentage needed to improve palatability in the formula.",,,"F0AH98H4XLK,F0AJ9UAG0DN,F0AHFLBKNQ2",,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP204 - Mushroom Hot Cocoa+",false,PN,":gear: In Production",,":green_salad: Food",,,"In Progress",Approved,":white_check_mark: ASIN B0GLJ2R9QF
:white_check_mark: UPC 850076186708",,,F0AL5Q39M6V,F0AK4F3KQMS,,,F0AMEEKJJ0P,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GLJ2R9QF"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Mushroom Beauty Gummy",false,DON,":white_check_mark: Launched",,":green_salad: Food",,,Done,Approved,":white_check_mark: ASIN B0GGCR64KP
:white_check_mark: UPC 850076186623",,,"F0AHFMX1G3C,F0AJA0LKR16,F0AH08QHNNT,F0AHC9M0X61,F0AHDL9QWGN",,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GGCR64KP"",""attachment"":{""https:\/\/www.amazon.com\/dp\/B0GGCR64KP"":{""from_url"":""https:\/\/www.amazon.com\/dp\/B0GGCR64KP"",""title"":""Amazon.com: Drops Of Nature Mushroom Beauty Biotin Gummies \u2013 Tremella Lions Mane VIT C VIT E \u2013 11-in-1 Mushroom and Vitamin Blend \u2013 Vegan Hair Skin and Nails Vitamins Support for Women (Mixed Fruits, 30 Gummies) : Health &amp; Household"",""title_link"":""https:\/\/www.amazon.com\/dp\/B0GGCR64KP"",""text"":""Buy Drops Of Nature Mushroom Beauty Biotin Gummies \u2013 Tremella Lions Mane VIT C VIT E \u2013 11-in-1 Mushroom and Vitamin Blend \u2013 Vegan Hair Skin and Nails Vitamins Support for Women (Mixed Fruits, 30 Gummies) on <http:\/\/Amazon.com|Amazon.com> \u2713 FREE SHIPPING on qualified orders"",""fallback"":""Amazon.com: Drops Of Nature Mushroom Beauty Biotin Gummies \u2013 Tremella Lions Mane VIT C VIT E \u2013 11-in-1 Mushroom and Vitamin Blend \u2013 Vegan Hair Skin and Nails Vitamins Support for Women (Mixed Fruits, 30 Gummies) : Health &amp; Household"",""service_icon"":""https:\/\/www.amazon.com\/favicon.ico"",""service_name"":""amazon.com"",""id"":1,""original_url"":""https:\/\/www.amazon.com\/dp\/B0GGCR64KP""}},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Mushroom Sleep Gummies",false,DON,":white_check_mark: Launched",,":green_salad: Food",,,Done,Approved,":white_check_mark: ASIN B0GCG2LZN6
:white_check_mark: UPC 850076186487",,,"F0AHCA7KMNH,F0AH9B3FWH1,F0AHDLWTVHU,F0AHCA6FZL5,F0AJA1DH3DW,F0AHFNQ46QJ,F0AHKB2ECR2,F0AJA1F04C8,F0AHULBQD3K",,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GCG2LZN6"",""attachment"":{""https:\/\/www.amazon.com\/dp\/B0GCG2LZN6"":{""from_url"":""https:\/\/www.amazon.com\/dp\/B0GCG2LZN6"",""title"":""Amazon.com: Drops Of Nature Mushroom Sleep Gummies Melatonin-Free \u2013 Ashwagandha L Theanine Elderberry Lions Mane Turkey Tail Lemon Balm GABA \u2013 Relaxation Support \u2013 Mushroom Supplement (Mixed Fruits, 50 Gummies) : Health &amp; Household"",""title_link"":""https:\/\/www.amazon.com\/dp\/B0GCG2LZN6"",""text"":""Buy Drops Of Nature Mushroom Sleep Gummies Melatonin-Free \u2013 Ashwagandha L Theanine Elderberry Lions Mane Turkey Tail Lemon Balm GABA \u2013 Relaxation Support \u2013 Mushroom Supplement (Mixed Fruits, 50 Gummies) on <http:\/\/Amazon.com|Amazon.com> \u2713 FREE SHIPPING on qualified orders"",""fallback"":""Amazon.com: Drops Of Nature Mushroom Sleep Gummies Melatonin-Free \u2013 Ashwagandha L Theanine Elderberry Lions Mane Turkey Tail Lemon Balm GABA \u2013 Relaxation Support \u2013 Mushroom Supplement (Mixed Fruits, 50 Gummies) : Health &amp; Household"",""service_icon"":""https:\/\/www.amazon.com\/favicon.ico"",""service_name"":""amazon.com"",""id"":1,""original_url"":""https:\/\/www.amazon.com\/dp\/B0GCG2LZN6""}},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H140 - Astaxanthin Softgels",false,DON,":microscope: Niche Analysis",,":pill: Supplement / Capsule",,,"Not Started","Not Started",":hourglass_flowing_sand: Waiting for formulation to be finalized and listing images to proceed
:white_check_mark: UPC 850076186685
:white_check_mark: KW list + draft copies",,,"F0AHUJ77BLZ,F0AHK901UTE,F0AJ9URM6AC",,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Mushroom Focus Gummies",false,DON,":white_check_mark: Launched",,":green_salad: Food",,,Done,Approved,":white_check_mark: ASIN B0GGCF5LXN
:white_check_mark: UPC 850076186524",,,"F0AHL9EST5Y,F0AHDTE05AP,F0AHDTFR6NP,F0AH4RHRRAT,F0AJEHPGA72,F0AHJ7WSCCW,F0AJEHRBJAU,F0AH4RST8G7,F0AHDTPE0V9",,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GGCF5LXN"",""attachment"":{""https:\/\/www.amazon.com\/dp\/B0GGCF5LXN"":{""from_url"":""https:\/\/www.amazon.com\/dp\/B0GGCF5LXN"",""title"":""Amazon.com: Drops Of Nature Mushroom Focus Gummies \u2013 Lions Mane Turkey Tail L-Theanine Choline Green Tea Extract \u2013 Vegan Brain Wellness Supplement \u2013 Boosted with B-Vitamins B6 and B12 (Mixed Fruits, 75 Gummies) : Health &amp; Household"",""title_link"":""https:\/\/www.amazon.com\/dp\/B0GGCF5LXN"",""text"":""Buy Drops Of Nature Mushroom Focus Gummies \u2013 Lions Mane Turkey Tail L-Theanine Choline Green Tea Extract \u2013 Vegan Brain Wellness Supplement \u2013 Boosted with B-Vitamins B6 and B12 (Mixed Fruits, 75 Gummies) on <http:\/\/Amazon.com|Amazon.com> \u2713 FREE SHIPPING on qualified orders"",""fallback"":""Amazon.com: Drops Of Nature Mushroom Focus Gummies \u2013 Lions Mane Turkey Tail L-Theanine Choline Green Tea Extract \u2013 Vegan Brain Wellness Supplement \u2013 Boosted with B-Vitamins B6 and B12 (Mixed Fruits, 75 Gummies) : Health &amp; Household"",""service_icon"":""https:\/\/www.amazon.com\/favicon.ico"",""service_name"":""amazon.com"",""id"":1,""original_url"":""https:\/\/www.amazon.com\/dp\/B0GGCF5LXN""}},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HT501- Lungs Detox Herbal Tea",false,PN,":white_check_mark: Launched",,":green_salad: Food",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0G7LDJZVC
:white_check_mark: UPC 850076186463",,,F0AHGUBUDAR,,,,F0AKK4NTN23,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0G7LDJZVC"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HT502 - BellySlim Herbal Tea",false,PN,":white_check_mark: Launched",,":green_salad: Food",,,"In Progress",Approved,":white_check_mark: ASIN B0GDMNV754
:white_check_mark: UPC 850076186470",,,F0AHLBZQ4US,,,,F0AKYFNS17Y,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GDMNV754"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HT503 - Cortisol Calm Herbal Tea",false,PN,":white_check_mark: Launched",,":green_salad: Food",,,"In Progress",Approved,":white_check_mark: ASIN B0GMPWVHG9
:white_check_mark: UPC 850076186739",,,"F0AHE6AN3LK,F0AJES2E6KS,F0AJES4F2QY,F0AHH5NDX0V",,,,F0AL0HGP31Q,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GMPWVHG9"",""attachment"":{},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"MUSHROOM GUMMY EMERGENCY PROJECT",false,DON,":white_check_mark: Launched",,":green_salad: Food",,,Done,Approved,":white_check_mark: ASIN B0GCNFCRP7
:white_check_mark: UPC 850076186494",,,"F0AHQ6YGWLU,F0AHZG8AAJD,F0AHH69FETF,F0AHH6AJB6Z",,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GCNFCRP7"",""attachment"":{""https:\/\/www.amazon.com\/dp\/B0GCNFCRP7"":{""from_url"":""https:\/\/www.amazon.com\/dp\/B0GCNFCRP7"",""title"":""Amazon.com: Drops Of Nature Mushroom Gummies 10-in-1 with KSM-66 Ashwagandha \u2013 Lions Mane Turkey Tail Cordyceps Shiitake Tremella Oyster Agaricus \u2013 Vegan Functional Mushroom Supplement (Mixed Fruits, 70 Gummies) : Health &amp; Household"",""title_link"":""https:\/\/www.amazon.com\/dp\/B0GCNFCRP7"",""text"":""Buy Drops Of Nature Mushroom Gummies 10-in-1 with KSM-66 Ashwagandha \u2013 Lions Mane Turkey Tail Cordyceps Shiitake Tremella Oyster Agaricus \u2013 Vegan Functional Mushroom Supplement (Mixed Fruits, 70 Gummies) on <http:\/\/Amazon.com|Amazon.com> \u2713 FREE SHIPPING on qualified orders"",""fallback"":""Amazon.com: Drops Of Nature Mushroom Gummies 10-in-1 with KSM-66 Ashwagandha \u2013 Lions Mane Turkey Tail Cordyceps Shiitake Tremella Oyster Agaricus \u2013 Vegan Functional Mushroom Supplement (Mixed Fruits, 70 Gummies) : Health &amp; Household"",""service_icon"":""https:\/\/www.amazon.com\/favicon.ico"",""service_name"":""amazon.com"",""id"":1,""original_url"":""https:\/\/www.amazon.com\/dp\/B0GCNFCRP7""}},""displayAsUrl"":false}",,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Multivitamin Gummy for Men",false,DON,":microscope: Niche Analysis",,":green_salad: Food",,,,,,,,F0AJET92CE4,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
